School,Name,avg,r ,h ,hr ,slg% ,ob% ,ops%
George Washington,"Fassnacht, Nate  ",.283 ,26 ,32 ,1 ,0.389,0.387,0.776
George Washington,"Cosentino, Matt  ",.274 ,23 ,32 ,2 ,0.376,0.348,0.724
George Washington,"Brophy, Colin  ",.263 ,19 ,26 ,1 ,0.374,0.345,0.719
George Washington,"Chapman, Brandon  ",.220 ,10 ,18 ,1 ,0.268,0.350,0.618
George Washington,"Martin, Sam  ",.308 ,1 ,4 ,0 ,0.308,0.400,0.708
George Washington,"Holtzapple, Bryant  ",.192 ,1 ,5 ,0 ,0.192,0.241,0.433
George Washington,"Kuncl, Trevor  ",.056 ,1 ,1 ,0 ,0.056,0.105,0.161
George Washington,"O'Rourke, Alex  ",.000 ,1 ,0 ,0 ,0.000,0.000,0.000
George Washington,"Malek, Chance  ",.000 ,0 ,0 ,0 ,0.000,0.000,0.000
Fordham,"Godrick, Billy",0.305,19.000,32.000,3.000,0.448,0.421,0.869
Fordham,"Vazquez, C.J.",0.303,13.000,23.000,0.000,0.342,0.404,0.746
Fordham,"Tarabek, Matt",0.295,19.000,31.000,1.000,0.400,0.383,0.783
Fordham,"Melendez, Alvin",0.288,20.000,23.000,0.000,0.400,0.400,0.800
Fordham,"MacKenzie, Jake",0.272,21.000,28.000,3.000,0.505,0.372,0.877
Fordham,"Baker, Jake",0.267,15.000,23.000,0.000,0.326,0.330,0.656
Fordham,"Goulard, Brian",0.253,13.000,23.000,0.000,0.308,0.324,0.632
Fordham,"Bardwell, Justin",0.250,15.000,25.000,0.000,0.320,0.339,0.659
Fordham,"Labella, Nick ",0.240,14.000,24.000,1.000,0.330,0.328,0.658
Fordham,"Doria, Nico",0.400,8.000,8.000,0.000,0.450,0.500,0.950
Fordham,"Brown, Casey",0.375,2.000,3.000,0.000,0.500,0.375,0.875
Fordham,"Snelling, Colton",0.286,5.000,8.000,0.000,0.321,0.394,0.715
Fordham,"Knehr, Reiss",0.273,6.000,9.000,1.000,0.394,0.375,0.769
Fordham,"Machado, Justin",0.267,5.000,4.000,0.000,0.400,0.450,0.850
Fordham,"Spampinato, david",0.000,0.000,0.000,0.000,0.000,0.250,0.250
Fordham,"DiMeglio, Anthony",0.000,0.000,0.000,0.000,0.000,0.000,0.000
Massachusetts,"Lever, Ryan 5 Lever, Ryan",0.307,16.000,27.000,0.000,0.352,0.370,0.722
Massachusetts,"Hart, Eddy 8 Hart, Eddy",0.291,19.000,25.000,2.000,0.419,0.390,0.809
Massachusetts,"Voghel, Justen 19 Voghel, Justen",0.276,7.000,16.000,0.000,0.345,0.338,0.683
Massachusetts,"Kessinger, Nolan 11 Kessinger, Nolan",0.270,8.000,20.000,0.000,0.351,0.371,0.722
Massachusetts,"Mrowka, Cooper 23 Mrowka, Cooper",0.247,8.000,18.000,0.000,0.288,0.385,0.673
Massachusetts,"Fry, Marcus 15 Fry, Marcus",0.242,11.000,16.000,1.000,0.364,0.311,0.675
Massachusetts,"Greene, Logan 29 Greene, Logan",0.229,6.000,11.000,1.000,0.313,0.362,0.675
Massachusetts,"Smith, Connor 21 Smith, Connor",0.207,9.000,12.000,1.000,0.362,0.333,0.695
Massachusetts,"Norton, Alec 6 Norton, Alec",0.294,8.000,10.000,0.000,0.382,0.457,0.839
